
Os valores de area e perimetro (em pixels) sao(foram ORDENADOS):


        AREA(pixel2)    PERIMETRO(pixel)
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.657
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4               9.899
                   4              10.243
                   4              10.243
                   4              10.243
                   4              10.485
                   4              10.485
                   4              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.485
                   5              10.828
                   5              11.071
                   5              11.071
                   5              11.071
                   5              11.071
                   5              11.071
                   5              11.071
                   5              11.071
                   5              11.071
                   5              11.071
                   5              11.071
                   5              11.071
                   5              11.071
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
                   5              11.314
